handle;displayName;description;centrality;pageRank;community;insideFollowers;followersCount;followsCount;postsCount
kstroemsnes.bsky.social;Kristin Strømsnes;Political scientist. Professor and Deputy Head of Department of Comparative Politics, University of Bergen https://www.uib.no/en/persons/Kristin.Strømsnes ;2,02253298340440e+02;3,82772366590638e-05;4;31;102;111;9
tbroekel.bsky.social;Tom Broekel;Professor in Regional Innovation, University of Stavanger Business School, #regional #economics, #economic #geography, #innovation studies, social network analysis, #EconSky;1,36062716803691e+03;4,45358364911947e-05;2;40;296;183;180
melinabuns.bsky.social;Melina Antonia Buns;international, environmental, and energy historian • associate professor at University of Stavanger, Norway, and the Greenhouse Center for Environmental Humanities • radioactive waste and Nordic environmental cooperation.;5,23297007051456e+04;1,79631504278691e-04;8;197;505;742;143
greenhouseuis.bsky.social;Greenhouse Center for Environmental Humanities;"The Greenhouse Center for Environmental Humanities is a research center at University of Stavanger, Norway. 
- Webpage: https://www.uis.no/en/greenhouse
- Weekly book talks: https://newnatures.org/greenhouse/";2,01135991276949e+04;1,42766142146787e-04;8;141;475;401;49
electricpunkah.bsky.social;Animesh Chatterjee;"Marie Sklodowska-Curie Actions postdoctoral fellow at The Greenhouse (Universitetet i Stavanger), writing about “Weathering Colonial Calcutta”.
www.electricpunkah.com";1,52089878370285e+03;5,53787627730045e-05;8;47;88;110;16
fmerhout.bsky.social;Friedolin Merhout;Assistant Professor of Sociology & Head of Studies for MSc in Social Data Science at University of Copenhagen. Duke University PhD. Intergroup relations & computational social science. He/him/his. fmerhout.github.io;1,71215728292260e+04;1,35085212745724e-04;2;138;341;393;26
hscottfordsmand.bsky.social;Helene Scott;Philosophy-medicine-bodies | Carlsberg foundation postdoc @ CambridgeHPS working on messy categories in clinical enquiry. Research fellow @ Clare Hall | PhD from Medical Museion (@ UCPH);2,91050503293296e+03;9,15758645366655e-05;3;106;190;139;32
blaabaek.bsky.social;Ea Blaabæk;Sociologist interested in children's reading, educational and cultural stratification, parenting, and health shock inequalities. Postdoc UCPH Sociology. Researcher ROCKWOOL Foundation. Blaabaek.dk;1,44466472598415e+04;1,31412662524414e-04;2;135;290;294;8
ostrovdoktora.bsky.social;Daniel Maul ;Historian| University of Oslo| global social policy| working conditions| welfare state| humanitarian aid;3,28628253826111e+04;1,17215871345845e-04;8;126;378;681;8
sesamescholar.bsky.social;Dr. Helle Strandgaard Jensen (she/her);"Danish historian, mom, wife, feminist, rower.
Latest book: ""Sesame Street. A Transnational History."" Current academic goal: combine childhood history and digital methods. ";1,56841839672332e+04;9,52818451121253e-05;8;96;249;280;99
mbneff.bsky.social;"Mary Beth Neff (""Mary-Beth"")";"PhD fellow at the University of Oslo, Norway and lead of the Research Task Force on Pilot Reporting Practices (in Psychology)

personal: http://tinyurl.com/jkjza86p
piloting task force: https://pilotreportingtf.github.io/";1,21761578982151e+03;4,53130360391011e-05;5;39;67;167;2
isager.bsky.social;Peder M Isager;Associate professor at Oslo New University College. Dungeon Master. Website: http://pedermisager.netlify.app;2,76821619679940e+02;6,23636172104163e-05;5;58;109;54;12
vegardtorstad.bsky.social;Vegard Tørstad;"Political scientist at University of Oslo. Environmental & climate politics, global governance, legitimacy.

www.vegardtorstad.com";9,54366200481539e+02;4,49049477990205e-05;4;40;112;86;2
frhoffmann.bsky.social;Fabian Hoffmann ;Doctoral Research Fellow at the Oslo Nuclear Project, University of Oslo. Defense policy, missile technology, and nuclear strategy. Views are my own. #NAFO;3,17811921583969e+03;9,62682931386610e-05;4;57;1648;255;76
jansauermann.bsky.social;Jan Sauermann;"Economist at IFAU Uppsala and UCLS Uppsala University: labor, gender, education

https://sites.google.com/site/jansauermann/home";2,32049031864011e+03;8,37207033432848e-05;2;78;301;285;35
rafaelahlskog.bsky.social;Rafael Ahlskog;Researcher, Uppsala university. Political behavior. Social science genetics/sociogenomics.;2,66199971308539e+03;4,19267385589738e-05;4;38;139;168;10
ingeson.bsky.social;Miriam Ingeson;"JD candidate, Uppsala university
Atrocity crimes, international criminal law, legal dogmatics, participation";1,51044793018727e+03;4,02705653014500e-05;1;35;93;151;38
ceciliajosefsson.bsky.social;Cecilia Josefsson;Associate professor in political science at Uppsala university. Researching gender and politics. ;7,01661945176916e+03;7,91647608849461e-05;4;83;213;298;0
elenaleuschner.bsky.social;Elena Leuschner;"Protests - Government Responsiveness - Concessions - Mobilization

PhD candidate @ Gothenburg University

https://elenaleuschner.github.io
";9,60271000023973e+03;1,16886499365509e-04;4;127;322;274;17
idaostenberg.bsky.social;Ida Östenberg ;"Professor of Classical Archaeology and Ancient History at the University of Gothenburg. Eller som min son säger: ""Mamma är bara professor i vissa saker.""";3,07535633119980e+03;7,63451549270678e-05;8;63;1173;460;133
hjfalk.bsky.social;Hjalmar Falk;Researcher in the history of ideas and science, University of Gothenburg. Sometime critic, constant hylic.;7,72167772526266e+03;5,39863647793807e-05;3;46;347;347;133
janaschwenk.bsky.social;Jana Schwenk;"PhD Candidate at Gothenburg University. Working on intraparty democracy, candidate selection, female representation, and corruption. 

Personal Website: janaschwenk.com";2,53101215195441e+03;7,43980833206905e-05;4;85;204;222;6
felixlehmann.bsky.social;Felix Lehmann;PhD candidate in political science @ University of Gothenburg | party competition | intra-party politics | European integration | immigration | radical right;6,27885655666348e+02;5,59600126063571e-05;4;56;140;164;1
andrejkokkonen.bsky.social;Andrej Kokkonen;Associate Professor at the Department of Political Science, University of Gothenburg. Interested in historical political economy and political behavior.;2,10787451706027e+04;1,10233614024229e-04;4;120;303;335;5
dollyjorgensen.bsky.social;Dolly Jørgensen;"Environmental historian. Professor Univ of Stavanger. Co-director Greenhouse Center for #envhum. Co-editor Environmental Humanities journal. Extinction; animal history.
New book: The Medieval Pig (Boydell 2024) https://boydellandbrewer.com/9781837651689/th";3,25914789764394e+04;2,99275115940426e-04;8;316;969;311;357
palroren.bsky.social;Pål Røren;Postdoctoral Fellow in Political Science at the University of Oslo.  My research is on security, status, and diplomacy.;1,18136528649462e+03;4,24557872896326e-05;4;32;84;133;0
micahgallen.com;Micah G. Allen;"Professor of Computational Neuroscience and Psychiatry, Aarhus University. PI @ the Embodied Computation Group. We study perception 👀, interoception 🫁🫀 ↻  🧠, & metacogniton 🤔.

https://www.the-ecg.org";7,41619391798000e+05;9,02909239343480e-04;5;1116;3441;2093;2780
corneliab.bsky.social;Cornelia Baciu;"Postdoc @koebenhavns_uni @MilStudiesCPH ▪ Orders, Governance, Norms and Organizations of Peace & Security ▪ Prev. @IFSHHamburg @SAISHopkins @DCU @UniKonstanz

🌍 Copenhagen/Magdeburg 

https://politicalscience.ku.dk/staff/Academic_staff/?pure=en/persons/72";1,34290097535707e+03;5,47566288482585e-05;4;46;125;103;17
louisehalberg.bsky.social;Louise Halberg Nielsen;"Political science phd student at Aarhus University 
Political representation | gender and politics | political behavior and participation 📚📝 ";1,29406082656258e+03;4,83552209860086e-05;4;41;81;91;0
alajanantti.bsky.social;Antti Alaja;"Asiantuntija/Expert. Uuden talousajattelun keskus/The Finnish Centre for New Economic Analysis. Interested in economic policy, welfare states and innovation. https://utak.fi
";7,19488345390741e+03;8,18543067388544e-05;9;74;531;772;70
asa.tsbalans.se;Åsa Plesner;"PhD candidate, critical & engaged accounting studies. It is, actually, a thing. Stockholm University. asa.plesner@sbs.su.se
***
Doktorerar om hemtjänsten, driver Tankesmedjan Balans, väljer alla strider, snäll mot småbarn. asa@tankesmedjanbalans.se
***
";3,41222173694828e+03;5,32060082162548e-05;3;42;2037;1153;2505
leapradella.bsky.social;Lea Pradella;"PhD Candidate at Aarhus University studying the causes and consequences of understanding between political opponents | currently visiting UC Berkeley

Personal page: https://leapradella.github.io/";3,31840446397809e+03;5,68254106170052e-05;4;53;122;170;1
williamkutz.bsky.social;William Kutz;"Geographer @ CORS Lund
Research Group Coordinator @ CEMES Öresund
Researches borders, territoriality, urban geopolitics, historical-geography of science, epistemologies of space
🔗 https://portal.research.lu.se/en/persons/william-kutz";3,96862454356071e+04;1,29702909928452e-04;3;136;394;701;5
vpsorsa.bsky.social;Ville-Pekka Sorsa;Social and political scientist, Director of https://www.helsinki.fi/en/networks/uhealth & MSc programme in social and healthcare research and management at Uni. Helsinki. PI of https://welgo.fi/;1,33318594143433e+02;4,84681163315876e-05;9;42;149;42;4
eliisakekalainen.bsky.social;Eliisa Kekäläinen;MD PhD, specialist in clinical microbiology and immunology, physician-scientist at University of Helsinki 🇫🇮. Thymus-enthusiast. Immunodeficiency diagnostics @Helsinki University Hospital. Personal account, she/her. Here for science and everything. ;8,16707989354170e+03;5,06392539762785e-05;9;56;266;306;36
nadineziemert.bsky.social;Nadine Ziemert;Microbiology and bioinformatics professor in Tuebingen, Malinois lover, fan of secondary metabolites in bacteria, evolution, computational biology, yoga, search and rescue, and Pepper;1,80997955542430e+03;5,28345312569453e-05;6;56;214;242;11
marcoyannic.bsky.social;Marco Hein;Systems biologist • Prof at Max Perutz Labs • dad • @czbiohub @jswlab @labs_mann alum • #LoveVirology #herpes4life #TeamMassSpec #dataviz • he/him •📍Vienna • 🇪🇺;7,89418210126987e+03;5,89213886033747e-05;6;58;286;616;7
shandonhogan.bsky.social;Shandon Hogan;PhD @CrexUiO researching violent extremism across Australia, New Zealand & Canada | Director @Radar Solutions | Adjunct Fellow @Victoria University;1,07714008192952e+03;4,64938530926176e-05;4;30;103;149;8
adamwickberg.bsky.social;Adam Wickberg;"Environmental humanities & Anthropocene history; acting director @KTHEnvHumsLab visiting fellow @MPIWG I Berlin: https://www.mpiwg-berlin.mpg.de/users/awickberg";1,03822014277472e+03;5,00755474688868e-05;8;45;104;95;6
andganna.bsky.social;Andrea Ganna;Associate Prof in health data science @HiLIFE_helsinki @FIMM_UH - MGH/Harvard - Playing with all kind of data - http://dsgelab.org;1,93231012120033e+03;5,34772125709189e-05;7;43;227;87;54
savhannah.bsky.social;Savhannah Schulz;"PhD Fellow @ Interacting Minds Centre researching reflection and playful learning, co-host @interact_minds podcast #scicomm
";2,72381327096098e+03;5,12188747938153e-05;5;37;92;168;4
truesciphi.org;Kelly Truelove;Prompter of curious AI conversations on the nature of things at http://TrueSciPhi.AI. Curator of science, philosophy, & mathematics podcast and Bluesky lists at https://TrueSciPhi.org. Physics PhD.;4,28186078051685e+04;3,01327889987316e-04;3;233;818;441;65
shiruuu.bsky.social;Shiru Lim;Historian of various things: political thought, intellectuals & the state, Europe & Russia in the very long c18. Assistant professor at Leiden. she/her 🎹🚴🏻‍♀️🍝 https://www.universiteitleiden.nl/en/staffmembers/shiru-lim#tab-2;5,63267590852074e+02;4,72267583421788e-05;8;37;107;85;0
cbjerre.bsky.social;Cecilie Bjerre;"Assistant Professor at the University of Southern Denmark, historian of child welfare, the family & the welfare state.
https://portal.findresearcher.sdu.dk/da/persons/cbjerre ";2,71791737973279e+03;4,96779937853941e-05;3;40;102;134;1
inpettersen.bsky.social;Ida Nilstad Pettersen;Design research, sustainability, social practices, societal transformation, urban nature. Prof. at NTNU.;1,77620294387851e+03;3,95990368466053e-05;3;32;98;168;2
tiedetati.bsky.social;Tiedetäti (Dr. Laura Nissin);"Tante Laura, a research enthusiast
Classicist at Tampere University
#ancienthistory #classics
Tieteestä intoileva antiikintutkijatäti. she/her";6,47907742424109e+04;1,62717906631775e-04;9;160;1092;1169;63
lauramkoenig.bsky.social;Dr. Laura M. König;"Professor of Health Psychology, University of Vienna #HPGVienna | #PsychSciSky #AcademicSky | eating behaviour, #digitalhealth, health promotion | science communication & open science | editor @de.in-mind.org
Web: https://gesundheit-psy.univie.ac.at";2,80761076337876e+04;1,60513772861986e-04;5;193;666;470;87
olivierschmitt.bsky.social;Olivier Schmitt;Prof at Center for War Studies, University of Southern Denmark | Work on contemporary warfare, alliances/NATO, defence policies in Europe and geoeconomics | Associate editor of the European Journal of International Security | https://olivier-schmitt.com/ ;2,55552345402252e+04;1,60878081645362e-04;4;132;2060;725;78
ruthmottram.bsky.social;Ruth Mottram ;"Climate scientist at DMI, Greenland, Antarctica, polar regions in general. 
Dipping a toe in yet another social media site. Mostly on mastodon though @ruth_mottram@fediscience.org
Blogging at sternaparadisaea.net";1,28027769710758e+04;1,59714163303508e-04;7;85;370;473;71
felixhaass.bsky.social;Felix Haass;"Associate professor for political science @UniOslo | Researching conflict & democratic development, the inner workings of dictatorships & international security

https://felixhaass.de/";2,12607321053741e+04;1,94942883369871e-04;4;230;585;480;9
warmatters.bsky.social;Dr Matthew Ford;"Ex-West Point fellow, Historical Consultant @Royal_Armouries. Saarf-Londoner. Assoc. Prof at the Swedish Defence University, Stockholm

https://fhs.academia.edu/MatthewFord";5,37229459120005e+03;1,00192471169550e-04;4;101;745;313;185
lingaas.bsky.social;Carola Lingaas;Associate Professor of Law. Author of 'The Concept of Race' (2018), editor of 'Honest Errors? Combat Combat Decision-Making 75 Years After the Hostage Case (2023). Research in ICL, IHL, HRL. Leader of HumanHarm research group.;3,71149021889102e+03;6,39961089913652e-05;1;63;149;269;1
lutzid.bsky.social;Christoph Lutz;Professor at BI Norwegian Business School & Co-Director of the Nordic Centre for Internet & Society. Research on privacy, digital inequality, AI & emerging tech. Check out my Google Scholar: https://scholar.google.com/citations?user=KI9IybAAAAAJ&hl=en;1,17030033131907e+04;9,12413564452142e-05;4;80;309;450;22
dsquintana.bsky.social;Dan Quintana;Associate Professor of Psychology at the University of Oslo | Behavioral neuroendocrinology and meta-science 🇦🇺🇨🇴🇳🇴;2,86671296200710e+04;4,43267301361910e-04;5;583;1605;198;189
sabinaleonelli.bsky.social;Sabina Leonelli;Prof in Philosophy and History of Science, University of Exeter | director Egenis | editor @HPLSjournal | http://opensciencestudies.eu @StudiesOpen | President-elect ISHPSSB | loves almost all forms of life and music;3,80088748536972e+05;4,47686510715218e-04;3;511;1180;1133;68
laurafursich.bsky.social;Laura Fürsich;"PhD student at the Institute for Analytical Sociology, LiU. I study the link between segregation dynamics & social networks. Interested in social influence, infrastructure, complexity & ABMs.
https://laurafursich.com/
";1,31279481445228e+03;4,87263949799627e-05;2;42;107;139;2
mettefoged.bsky.social;Mette Foged;Associate prof @uni_copenhagen @Economics_UCPH. Senior researcher @RockwoolFonden. Affiliated with @iza_bonn and @CReAM_Research.;3,35374935686390e+02;4,40529891645205e-05;2;32;133;102;6
andreasmdiemer.bsky.social;Andreas Diemer;Researcher at SOFI, Stockholm Uni. Econ Geo PhD from LSE. Interested in urban economics and regional science, peer and neighbourhood effects. Dad, currently on parental leave.;6,86045923254469e+03;6,35094468839635e-05;2;64;220;451;3
tanjaslotte.bsky.social;Tanja Slotte;"Evolutionary genomicist interested in plant mating system evolution and supergenes
Professor at Stockholm University
";1,33343940266679e+03;8,28459767006151e-05;6;83;365;253;52
agustingoenaga.bsky.social;Agustín Goenaga;Political scientist at Lund University. Democracy, Development, Historical Political Economy. Novelist at night.;4,53585827027266e+03;6,60789710285500e-05;4;67;172;315;1
boelstad.bsky.social;Jørgen Bølstad;Professor of Political Science at Uni. Oslo. Into causal inference and statistical modeling. Posting data science projects at Estimite.com. ;4,62159127242461e+03;7,85672202128618e-05;4;82;234;229;5
tkalan.bsky.social;Tamara Kalandadze;"Assoc. professor in neurodevelopmental differences. AE for Infant and Child Development #DevLangDis

autism I DLD I open, reproducible research I meta-research I language and communication difficulties and mental health I co-production of knowledge";3,74771569811882e+03;5,87345422533886e-05;5;69;160;277;0
marentoft.bsky.social;Maren Toft;Associate Professor in Sociology, uni Oslo. Relational sociology, class analysis, urban inequality, elite studies;3,88684459411499e+04;1,61392420555561e-04;2;190;491;461;26
jelena3121.bsky.social;Jelena Brankovic;"Sociologist. PhD. Currently working on the history of comparing universities at scale.

More: https://jelenabrankovic.net/";6,12555743466115e+04;1,63427884577214e-04;4;190;640;566;265
oeysteinhernaes.bsky.social;Øystein Hernæs;"Economist-social scientist at the Frisch Centre frisch.uio.no, Oslo, Norway. Doing empirical research on children, labor, pensions, health, politics, etc. Expressing personal opinions. 
https://sites.google.com/site/oeysteinmhernaes/";3,85781139003238e+03;6,29762719565657e-05;2;54;207;448;2
mikakortelainen.bsky.social;Mika Kortelainen;"Professor of health economics at the University of Turku and research professor at the Finnish Institute for Health and Welfare (THL). 
https://sites.google.com/view/mikakorte/home ";2,61618420564039e+03;6,38422881009399e-05;9;61;275;241;17
randalljstephens.bsky.social;Randall Stephens;American historian, religion, environment, pop culture, the South. Author: The Devil's Music (Harvard, 2018). Prof of Am & Brit Studies, Univ of Oslo. Fulbright alumnus. https://t.co/oGDJUwAhXL;2,75771332499858e+04;1,32598670907128e-04;8;140;623;624;329
agrarsvennis.bsky.social;Patrick Svensson;"Professor of agrarian history, SLU, Sweden
Traveling in space and time analyzing inequality, material wealth, and the landless classes and their rulers.
Uppsala and Lund, born and raised in Norrköping
https://www.slu.se/en/ew-cv/patrick-svensson/ ";2,52871187696397e+03;5,05383774501582e-05;3;38;348;368;284
sjurdur.bsky.social;Dr Sjúrður Hammer;Islander Seabird ecotoxicology, biomarkers - biodiversity and invasive species. Hoarder of bird skulls, feathers & eggshells. Natural history books and taxidermy are my love languages. University of Aberdeen and Glasgow alumni;2,01723327763763e+04;1,11308000333653e-04;7;110;522;671;199
thoruplars.bsky.social;Lars Thorup Larsen;Political Scientist, researches health policy and resistance to knowledge authorities;1,29027504017561e+03;4,49139496870928e-05;4;39;108;139;0
frikknesje.bsky.social;Frikk Nesje;Assistant professor at U Copenhagen. Resource and environmental economics, welfare economics, game theory. http://frikknesje.com/;1,28906512715081e+04;8,26528734494761e-05;2;80;378;504;15
erikwengstrom.bsky.social;Erik Wengström ;Economics professor at Lund University and Hanken. Collecting and connecting data to understand behavior. https://sites.google.com/site/erikwengstrom/;2,62094127266636e+03;4,54501869559802e-05;2;39;191;233;7
vhsouthgate.bsky.social;Victoria Southgate;Developmental social cognitive neuroscientist and thalassophile. Prof at the University of Copenhagen. ;2,27522209980636e+03;9,40978847006309e-05;5;118;231;112;4
jfarkas.bsky.social;Johan Farkas;Postdoc. Author of 'Post-Truth, Fake News and Democracy' (http://bit.ly/2xDm7Xx), University of Copenhagen, FirstGen 🎓. he/him. Free access to my work: http://www.johanfarkas.com/research;7,32006253958364e+03;7,61950954810769e-05;4;74;258;247;32
magnusz.bsky.social;Magnus Møller Ziegler;Communist etc. Intellectual history, philosophy, Young Hegelianism, Marx, Vormärz studies. Academic mercenary ⟶ magnusz.dk;4,01812227421276e+03;4,85322291172886e-05;3;40;199;181;9
tomassjoblom.bsky.social;Tomas Sjöblom;Senior research communication specialist at Kela (The Finnish Social Security Institution) by day. Freelance scicomm trainer by night. Ex social media lead at University of Helsinki. History MA. Dad.;3,12698127339643e+04;1,73119256788760e-04;9;141;1458;559;375
simongerman600.bsky.social;Simon Kuestenmacher;German #geographer and #demographer in #Melbourne. I love and share #maps and #data that explain how the #world works.;4,58192084654915e+03;1,11650896299399e-04;5;121;2473;354;288
adler-nissen.bsky.social;Rebecca Adler-Nissen;I’m a Professor of International Relations at the University of Copenhagen. Right now my research interests are: Diplomacy, Digital Technologies, Geopolitics, EU, International Political Sociology and Practice Theory ;9,96416192868646e+03;1,55297558682577e-04;4;169;570;156;6
elinberg.bsky.social;Elin Berg;PhD student in War Studies | Gender, Peace & Security at the Swedish Defense University. Previously @GVAGrad & @UU_Peace. Views my own. I like politics, peace, parmesan & Paris (she/her);1,61593265246402e+03;4,06912404509211e-05;4;34;124;138;3
chavarie.bsky.social;Louise Chavarie;Canadian scientist living in Norway. Associate professor at the Norwegian University of Life Sciences, all 🐟 but especially salmonids, evolutionary ecology, aquatic ecology, Arctic, fisheries, eDNA, life-history, food-web, intraspecific variation.;4,90307975768641e+03;8,22062274840338e-05;7;82;346;477;8
samulireijula.bsky.social;Samuli Reijula;Academy research fellow & unilecturer @ UniHelsinki/TINT. Explaining science. #Philsci #Cogsci #Scisci / Institutional Epistemology ws / Nordic Network for Science of Science www.samulireijula.net;6,01351020525913e+04;1,18466695414941e-04;9;134;320;513;79
mtorppa.bsky.social;Minna Torppa;Researcher in the field of educational psychology. Working mostly on reading and math development as well as learning difficulties. Professor at the University of Jyväskylä.;1,92463945423585e+02;3,76074576474190e-05;9;31;82;58;1
lewismarkwebb.bsky.social;Dr Lewis Webb;Roman historian. Lecturer at Merton College, University of Oxford. Researcher at University of Gothenburg. Father of Maya. He/him.;6,95937860768946e+03;8,53090815575008e-05;8;72;405;453;32
emiliakorkeaaho.bsky.social;Emilia Korkea-aho;"Professor at University of Eastern Finland, PI of Finnish Academy project REVOLVE and Kone project LoSKa. Docent at University of Helsinki. EU (soft) law and governance, lobbying, revolving door.

www.emiliakorkea-aho.eu";1,05865269774826e+04;8,26258344146600e-05;9;83;282;215;17
kristiinabrunila.bsky.social;Kristiina Brunila;Professor, University of Helsinki, social sciences in #education, #sociology, #policy, #governance, #inequalities, #marketisation;3,34609961353942e+03;8,65387283515340e-05;9;82;336;247;20
hetatuominen.bsky.social;Heta Tuominen;Academy Research Fellow @UniEastFinland | Docent of Education | Studying motivation, learning, and well-being | www.molewe.net;3,17830831861309e+03;5,56172194131250e-05;9;55;203;218;10
franzimarquart.bsky.social;Franziska Marquart;Assistant Professor for Digital Methods - Department of Communication, Copenhagen University, researching (visual) political communication online;1,42629091150906e+03;8,02013508286924e-05;4;71;167;111;2
